setsockopt: Protocol not available
218.922 446.412 172 2
259.403 242.253 124 2
217.932 446.551 172 0
258.933 243.136 118 2
216.942 446.691 172 0
258.374 243.965 124 1
215.951 446.83 172 0
257.731 244.731 130 1
214.952 446.865 178 1
257.012 245.425 136 1
213.954 446.795 184 1
256.224 246.041 142 1
212.957 446.725 184 0
255.376 246.571 148 1
211.959 446.655 184 0
254.477 247.009 154 1
210.962 446.586 184 0
253.629 247.539 148 2
209.964 446.516 184 0
252.73 247.978 154 1
208.967 446.446 184 0
251.79 248.32 160 1
207.969 446.376 184 0
250.892 248.758 154 2
206.984 446.203 190 1
249.993 249.196 154 0
205.999 446.029 190 0
249.094 249.635 154 0
205.015 445.855 190 0
248.154 249.977 160 1
204.017 445.786 184 2
247.184 250.219 166 1
203.032 445.612 190 1
246.194 250.358 172 1
202.071 445.336 196 1
245.194 250.393 178 1
201.144 444.962 202 1
244.195 250.428 178 0
200.217 444.587 202 0
243.196 250.463 178 0
199.289 444.213 202 0
242.196 250.498 178 0
198.328 443.937 196 2
241.199 250.428 184 1
197.367 443.661 196 0
240.214 250.254 190 1
196.406 443.386 196 0
239.229 250.08 190 0
195.421 443.212 190 2
238.268 249.805 196 1
194.436 443.038 190 0
237.341 249.43 202 1
193.451 442.865 190 0
236.379 249.155 196 2
192.454 442.795 184 2
235.394 248.981 190 2
191.469 442.621 190 1
234.397 248.911 184 2
190.508 442.346 196 1
233.412 248.738 190 1
189.546 442.07 196 0
232.451 248.462 196 1
188.619 441.695 202 1
231.524 248.087 202 1
187.736 441.226 208 1
230.562 247.812 196 2
186.809 440.851 202 2
229.635 247.437 202 1
185.848 440.576 196 2
228.752 246.968 208 1
184.863 440.402 190 2
227.923 246.408 214 1
183.865 440.332 184 2
227.157 245.766 220 1
182.868 440.263 184 0
226.463 245.046 226 1
181.87 440.193 184 0
225.768 244.327 226 0
180.871 440.228 178 2
225.073 243.608 226 0
179.873 440.158 184 1
224.379 242.888 226 0
178.888 439.984 190 1
223.613 242.245 220 2
177.904 439.811 190 0
222.846 241.603 220 0
176.919 439.637 190 0
222.08 240.96 220 0
175.934 439.463 190 0
221.386 240.241 226 1
174.973 439.188 196 1
220.77 239.453 232 1
174.046 438.813 202 1
220.24 238.604 238 1
173.163 438.344 208 1
